id_encuesta,id_ticket,id_mesero,calificacion_servicio,comentario,sentimiento
77,183,36,3,Servicio regular,neutro
78,184,25,5,"Excelente atención, volveré",positivo
79,185,37,4,"Buen servicio, todo rico",positivo
80,189,39,4,"Buen servicio, todo rico",positivo
81,190,40,4,"Buen servicio, todo rico",positivo
82,192,28,2,La atención no fue agradable,negativo
83,196,41,3,Servicio regular,neutro
84,198,45,3,Servicio regular,neutro
85,199,46,3,Servicio regular,neutro
86,202,48,4,"Buen servicio, todo rico",positivo
87,203,45,2,La atención no fue agradable,negativo
88,205,47,3,Servicio regular,neutro
89,206,44,3,Servicio regular,neutro
90,207,47,4,"Buen servicio, todo rico",positivo
91,208,47,3,Servicio regular,neutro
92,210,42,4,"Buen servicio, todo rico",positivo
93,213,44,4,"Buen servicio, todo rico",positivo
94,215,43,4,"Buen servicio, todo rico",positivo
95,219,42,4,"Buen servicio, todo rico",positivo
96,222,42,4,"Buen servicio, todo rico",positivo
97,223,41,3,Servicio regular,neutro
98,224,6,3,Servicio regular,neutro
99,225,4,3,Servicio regular,neutro
100,226,21,4,"Buen servicio, todo rico",positivo
101,227,7,4,"Buen servicio, todo rico",positivo
102,228,15,4,"Buen servicio, todo rico",positivo
103,229,21,4,"Buen servicio, todo rico",positivo
104,233,11,4,"Buen servicio, todo rico",positivo
105,237,20,4,"Buen servicio, todo rico",positivo
106,239,3,3,Servicio regular,neutro
107,240,13,4,"Buen servicio, todo rico",positivo
108,245,20,4,"Buen servicio, todo rico",positivo
109,247,3,4,"Buen servicio, todo rico",positivo
110,252,7,3,Servicio regular,neutro
111,253,7,3,Servicio regular,neutro
112,255,3,4,"Buen servicio, todo rico",positivo
113,256,3,4,"Buen servicio, todo rico",positivo
114,258,23,4,"Buen servicio, todo rico",positivo
115,259,13,3,Servicio regular,neutro
116,260,23,4,"Buen servicio, todo rico",positivo
117,264,18,4,"Buen servicio, todo rico",positivo
118,266,15,4,"Buen servicio, todo rico",positivo
119,267,10,3,Servicio regular,neutro
120,270,21,3,Servicio regular,neutro
121,271,22,4,"Buen servicio, todo rico",positivo
122,273,6,3,Servicio regular,neutro
123,274,7,4,"Buen servicio, todo rico",positivo
124,280,4,3,Servicio regular,neutro
125,282,6,3,Servicio regular,neutro
126,285,2,5,"Excelente atención, volveré",positivo
127,288,40,4,"Buen servicio, todo rico",positivo
128,290,33,3,Servicio regular,neutro
129,291,28,2,La atención no fue agradable,negativo
130,293,39,4,"Buen servicio, todo rico",positivo
131,295,33,3,Servicio regular,neutro
132,297,38,3,Servicio regular,neutro
133,299,32,5,"Excelente atención, volveré",positivo
134,300,40,4,"Buen servicio, todo rico",positivo
135,301,34,4,"Buen servicio, todo rico",positivo
136,304,32,4,"Buen servicio, todo rico",positivo
137,305,31,3,Servicio regular,neutro
138,306,31,3,Servicio regular,neutro
139,307,28,2,La atención no fue agradable,negativo
140,309,26,4,"Buen servicio, todo rico",positivo
141,312,39,4,"Buen servicio, todo rico",positivo
142,313,34,4,"Buen servicio, todo rico",positivo
143,314,26,4,"Buen servicio, todo rico",positivo
144,315,34,5,"Excelente atención, volveré",positivo
145,317,25,4,"Buen servicio, todo rico",positivo
146,318,35,4,"Buen servicio, todo rico",positivo
147,319,25,4,"Buen servicio, todo rico",positivo
148,321,39,4,"Buen servicio, todo rico",positivo
149,323,36,3,Servicio regular,neutro
150,324,31,3,Servicio regular,neutro
151,329,27,4,"Buen servicio, todo rico",positivo
152,330,39,4,"Buen servicio, todo rico",positivo
153,331,37,4,"Buen servicio, todo rico",positivo
154,333,44,3,Servicio regular,neutro
155,335,47,4,"Buen servicio, todo rico",positivo
156,337,41,3,Servicio regular,neutro
157,338,44,3,Servicio regular,neutro
158,339,43,4,"Buen servicio, todo rico",positivo
159,343,46,3,Servicio regular,neutro
160,344,42,5,"Excelente atención, volveré",positivo
161,346,43,3,Servicio regular,neutro
162,347,47,4,"Buen servicio, todo rico",positivo
163,350,44,4,"Buen servicio, todo rico",positivo
164,351,20,4,"Buen servicio, todo rico",positivo
165,352,2,4,"Buen servicio, todo rico",positivo
166,353,9,3,Servicio regular,neutro
167,355,4,4,"Buen servicio, todo rico",positivo
168,356,24,5,"Excelente atención, volveré",positivo
169,359,2,4,"Buen servicio, todo rico",positivo
170,360,22,4,"Buen servicio, todo rico",positivo
171,362,17,3,Servicio regular,neutro
172,363,9,3,Servicio regular,neutro
173,369,12,3,Servicio regular,neutro
174,371,17,3,Servicio regular,neutro
175,372,13,4,"Buen servicio, todo rico",positivo
176,373,2,4,"Buen servicio, todo rico",positivo
177,379,6,4,"Buen servicio, todo rico",positivo
178,380,8,3,Servicio regular,neutro
179,384,11,3,Servicio regular,neutro
180,390,2,5,"Excelente atención, volveré",positivo
181,392,21,4,"Buen servicio, todo rico",positivo
182,393,4,3,Servicio regular,neutro
183,394,6,4,"Buen servicio, todo rico",positivo
184,395,5,4,"Buen servicio, todo rico",positivo
185,398,18,4,"Buen servicio, todo rico",positivo
186,399,7,3,Servicio regular,neutro
187,400,23,4,"Buen servicio, todo rico",positivo
188,402,21,4,"Buen servicio, todo rico",positivo
189,404,17,3,Servicio regular,neutro
190,412,28,2,La atención no fue agradable,negativo
191,415,39,5,"Excelente atención, volveré",positivo
192,416,29,4,"Buen servicio, todo rico",positivo
193,417,39,4,"Buen servicio, todo rico",positivo
194,420,27,4,"Buen servicio, todo rico",positivo
195,426,40,4,"Buen servicio, todo rico",positivo
196,427,29,4,"Buen servicio, todo rico",positivo
197,430,37,4,"Buen servicio, todo rico",positivo
198,432,25,4,"Buen servicio, todo rico",positivo
199,433,26,4,"Buen servicio, todo rico",positivo
200,436,36,3,Servicio regular,neutro
201,439,32,5,"Excelente atención, volveré",positivo
202,440,35,4,"Buen servicio, todo rico",positivo
203,441,28,2,La atención no fue agradable,negativo
204,442,40,4,"Buen servicio, todo rico",positivo
205,443,39,4,"Buen servicio, todo rico",positivo
206,444,31,4,"Buen servicio, todo rico",positivo
207,445,30,5,"Excelente atención, volveré",positivo
208,448,41,3,Servicio regular,neutro
209,449,47,3,Servicio regular,neutro
210,456,41,2,La atención no fue agradable,negativo
211,457,43,3,Servicio regular,neutro
212,458,43,3,Servicio regular,neutro
213,460,45,2,La atención no fue agradable,negativo
214,461,42,4,"Buen servicio, todo rico",positivo
215,463,41,3,Servicio regular,neutro
216,466,43,3,Servicio regular,neutro
217,468,45,2,La atención no fue agradable,negativo
218,469,47,4,"Buen servicio, todo rico",positivo
219,470,47,3,Servicio regular,neutro
220,475,46,3,Servicio regular,neutro
221,477,6,3,Servicio regular,neutro
222,480,4,3,Servicio regular,neutro
223,483,13,4,"Buen servicio, todo rico",positivo
224,488,2,4,"Buen servicio, todo rico",positivo
225,491,5,3,Servicio regular,neutro
226,496,16,3,Servicio regular,neutro
227,497,9,5,"Excelente atención, volveré",positivo
228,498,20,4,"Buen servicio, todo rico",positivo
229,502,14,4,"Buen servicio, todo rico",positivo
230,508,23,3,Servicio regular,neutro
231,509,24,4,"Buen servicio, todo rico",positivo
232,510,2,5,"Excelente atención, volveré",positivo
233,511,13,4,"Buen servicio, todo rico",positivo
234,513,2,5,"Excelente atención, volveré",positivo
235,514,24,4,"Buen servicio, todo rico",positivo
236,515,18,4,"Buen servicio, todo rico",positivo
237,525,21,4,"Buen servicio, todo rico",positivo
238,528,20,5,"Excelente atención, volveré",positivo
239,536,24,4,"Buen servicio, todo rico",positivo
240,537,3,4,"Buen servicio, todo rico",positivo
241,543,30,5,"Excelente atención, volveré",positivo
242,547,37,4,"Buen servicio, todo rico",positivo
243,549,26,4,"Buen servicio, todo rico",positivo
244,550,26,4,"Buen servicio, todo rico",positivo
245,552,39,4,"Buen servicio, todo rico",positivo
246,557,27,5,"Excelente atención, volveré",positivo
247,558,37,4,"Buen servicio, todo rico",positivo
248,559,35,4,"Buen servicio, todo rico",positivo
249,562,25,4,"Buen servicio, todo rico",positivo
250,563,37,3,Servicio regular,neutro
251,564,28,2,La atención no fue agradable,negativo
252,566,32,5,"Excelente atención, volveré",positivo
253,568,25,4,"Buen servicio, todo rico",positivo
254,569,34,4,"Buen servicio, todo rico",positivo
255,572,40,4,"Buen servicio, todo rico",positivo
256,573,39,4,"Buen servicio, todo rico",positivo
257,574,32,5,"Excelente atención, volveré",positivo
258,580,26,4,"Buen servicio, todo rico",positivo
259,581,33,3,Servicio regular,neutro
260,582,37,4,"Buen servicio, todo rico",positivo
261,584,30,4,"Buen servicio, todo rico",positivo
262,592,32,4,"Buen servicio, todo rico",positivo
263,597,29,4,"Buen servicio, todo rico",positivo
264,599,35,4,"Buen servicio, todo rico",positivo
265,601,41,3,Servicio regular,neutro
266,602,46,3,Servicio regular,neutro
267,603,46,3,Servicio regular,neutro
268,604,42,5,"Excelente atención, volveré",positivo
269,605,47,3,Servicio regular,neutro
270,606,48,3,Servicio regular,neutro
271,614,42,4,"Buen servicio, todo rico",positivo
272,615,44,4,"Buen servicio, todo rico",positivo
273,616,41,3,Servicio regular,neutro
274,619,43,3,Servicio regular,neutro
275,620,48,4,"Buen servicio, todo rico",positivo
276,623,46,3,Servicio regular,neutro
277,629,19,2,La atención no fue agradable,negativo
278,632,15,3,Servicio regular,neutro
279,635,24,4,"Buen servicio, todo rico",positivo
280,638,22,4,"Buen servicio, todo rico",positivo
281,643,16,3,Servicio regular,neutro
282,646,5,4,"Buen servicio, todo rico",positivo
283,648,7,3,Servicio regular,neutro
284,649,13,4,"Buen servicio, todo rico",positivo
285,650,2,4,"Buen servicio, todo rico",positivo
286,651,20,5,"Excelente atención, volveré",positivo
287,652,22,4,"Buen servicio, todo rico",positivo
288,653,18,4,"Buen servicio, todo rico",positivo
289,654,5,3,Servicio regular,neutro
290,655,7,3,Servicio regular,neutro
291,656,6,4,"Buen servicio, todo rico",positivo
292,658,22,4,"Buen servicio, todo rico",positivo
293,660,23,3,Servicio regular,neutro
294,661,17,3,Servicio regular,neutro
295,663,10,3,Servicio regular,neutro
296,666,20,4,"Buen servicio, todo rico",positivo
297,667,14,3,Servicio regular,neutro
298,669,21,4,"Buen servicio, todo rico",positivo
299,672,11,4,"Buen servicio, todo rico",positivo
300,673,12,4,"Buen servicio, todo rico",positivo
301,674,17,4,"Buen servicio, todo rico",positivo
302,677,1,3,Servicio regular,neutro
303,679,23,3,Servicio regular,neutro
304,680,11,4,"Buen servicio, todo rico",positivo
305,693,6,4,"Buen servicio, todo rico",positivo
306,698,30,4,"Buen servicio, todo rico",positivo
307,699,34,4,"Buen servicio, todo rico",positivo
308,700,28,3,Servicio regular,neutro
309,701,27,4,"Buen servicio, todo rico",positivo
310,710,38,3,Servicio regular,neutro
311,711,27,4,"Buen servicio, todo rico",positivo
312,714,36,4,"Buen servicio, todo rico",positivo
313,715,30,4,"Buen servicio, todo rico",positivo
314,723,27,4,"Buen servicio, todo rico",positivo
315,728,25,4,"Buen servicio, todo rico",positivo
316,731,40,5,"Excelente atención, volveré",positivo
317,732,37,5,"Excelente atención, volveré",positivo
318,734,32,5,"Excelente atención, volveré",positivo
319,742,25,4,"Buen servicio, todo rico",positivo
320,747,27,4,"Buen servicio, todo rico",positivo
321,754,37,4,"Buen servicio, todo rico",positivo
322,757,26,5,"Excelente atención, volveré",positivo
323,760,39,4,"Buen servicio, todo rico",positivo
324,764,44,3,Servicio regular,neutro
325,765,41,2,La atención no fue agradable,negativo
326,766,44,4,"Buen servicio, todo rico",positivo
327,768,42,3,Servicio regular,neutro
328,769,47,4,"Buen servicio, todo rico",positivo
329,770,48,4,"Buen servicio, todo rico",positivo
330,773,46,3,Servicio regular,neutro
331,776,41,2,La atención no fue agradable,negativo
332,780,41,3,Servicio regular,neutro
333,783,41,3,Servicio regular,neutro
334,785,43,3,Servicio regular,neutro
335,789,45,3,Servicio regular,neutro
336,792,10,3,Servicio regular,neutro
337,793,19,2,La atención no fue agradable,negativo
338,794,1,3,Servicio regular,neutro
339,799,22,4,"Buen servicio, todo rico",positivo
340,801,1,3,Servicio regular,neutro
341,803,14,4,"Buen servicio, todo rico",positivo
342,808,22,4,"Buen servicio, todo rico",positivo
343,809,24,4,"Buen servicio, todo rico",positivo
344,812,3,3,Servicio regular,neutro
345,813,16,3,Servicio regular,neutro
346,814,22,4,"Buen servicio, todo rico",positivo
347,818,5,3,Servicio regular,neutro
348,820,23,4,"Buen servicio, todo rico",positivo
349,821,13,3,Servicio regular,neutro
350,826,10,4,"Buen servicio, todo rico",positivo
351,827,19,3,Servicio regular,neutro
352,828,9,4,"Buen servicio, todo rico",positivo
353,829,5,4,"Buen servicio, todo rico",positivo
354,834,21,4,"Buen servicio, todo rico",positivo
355,835,6,4,"Buen servicio, todo rico",positivo
356,836,5,3,Servicio regular,neutro
357,846,16,3,Servicio regular,neutro
358,847,18,4,"Buen servicio, todo rico",positivo
359,849,13,4,"Buen servicio, todo rico",positivo
360,852,22,4,"Buen servicio, todo rico",positivo
361,853,8,4,"Buen servicio, todo rico",positivo
362,854,8,3,Servicio regular,neutro
363,857,16,3,Servicio regular,neutro
364,860,21,3,Servicio regular,neutro
365,861,24,4,"Buen servicio, todo rico",positivo
366,862,17,3,Servicio regular,neutro
367,864,8,3,Servicio regular,neutro
368,865,18,4,"Buen servicio, todo rico",positivo
369,875,20,4,"Buen servicio, todo rico",positivo
370,880,37,4,"Buen servicio, todo rico",positivo
371,881,36,4,"Buen servicio, todo rico",positivo
372,883,40,4,"Buen servicio, todo rico",positivo
373,884,28,2,La atención no fue agradable,negativo
374,886,27,5,"Excelente atención, volveré",positivo
375,887,32,5,"Excelente atención, volveré",positivo
376,888,34,5,"Excelente atención, volveré",positivo
377,889,26,4,"Buen servicio, todo rico",positivo
378,890,29,4,"Buen servicio, todo rico",positivo
379,891,37,4,"Buen servicio, todo rico",positivo
380,895,40,4,"Buen servicio, todo rico",positivo
381,896,27,5,"Excelente atención, volveré",positivo
382,900,37,4,"Buen servicio, todo rico",positivo
383,903,34,4,"Buen servicio, todo rico",positivo
384,905,28,2,La atención no fue agradable,negativo
385,907,28,3,Servicio regular,neutro
386,912,39,4,"Buen servicio, todo rico",positivo
387,924,28,2,La atención no fue agradable,negativo
388,925,37,4,"Buen servicio, todo rico",positivo
389,930,31,4,"Buen servicio, todo rico",positivo
390,931,31,3,Servicio regular,neutro
391,932,30,4,"Buen servicio, todo rico",positivo
392,933,32,4,"Buen servicio, todo rico",positivo
393,937,35,4,"Buen servicio, todo rico",positivo
394,938,48,3,Servicio regular,neutro
395,946,41,2,La atención no fue agradable,negativo
396,949,47,4,"Buen servicio, todo rico",positivo
397,953,44,3,Servicio regular,neutro
398,955,42,4,"Buen servicio, todo rico",positivo
399,956,44,3,Servicio regular,neutro
400,957,47,4,"Buen servicio, todo rico",positivo
401,958,42,4,"Buen servicio, todo rico",positivo
402,963,41,2,La atención no fue agradable,negativo
403,968,47,4,"Buen servicio, todo rico",positivo
404,969,45,3,Servicio regular,neutro
405,971,42,4,"Buen servicio, todo rico",positivo
406,972,44,4,"Buen servicio, todo rico",positivo
407,977,24,4,"Buen servicio, todo rico",positivo
408,985,2,5,"Excelente atención, volveré",positivo
409,987,4,3,Servicio regular,neutro
410,988,12,4,"Buen servicio, todo rico",positivo
411,989,12,3,Servicio regular,neutro
412,994,21,3,Servicio regular,neutro
413,995,12,4,"Buen servicio, todo rico",positivo
414,999,23,4,"Buen servicio, todo rico",positivo
415,1004,5,4,"Buen servicio, todo rico",positivo
416,1008,9,3,Servicio regular,neutro
417,1014,14,4,"Buen servicio, todo rico",positivo
418,1015,11,4,"Buen servicio, todo rico",positivo
419,1016,2,5,"Excelente atención, volveré",positivo
420,1022,12,3,Servicio regular,neutro
421,1026,1,3,Servicio regular,neutro
422,1027,17,4,"Buen servicio, todo rico",positivo
423,1029,21,4,"Buen servicio, todo rico",positivo
424,1031,6,4,"Buen servicio, todo rico",positivo
425,1033,18,4,"Buen servicio, todo rico",positivo
426,1036,2,4,"Buen servicio, todo rico",positivo
427,1037,18,4,"Buen servicio, todo rico",positivo
428,1038,14,3,Servicio regular,neutro
429,1040,13,4,"Buen servicio, todo rico",positivo
430,1041,27,4,"Buen servicio, todo rico",positivo
431,1042,39,4,"Buen servicio, todo rico",positivo
432,1049,36,3,Servicio regular,neutro
433,1052,34,5,"Excelente atención, volveré",positivo
434,1054,39,4,"Buen servicio, todo rico",positivo
435,1056,32,4,"Buen servicio, todo rico",positivo
436,1063,26,4,"Buen servicio, todo rico",positivo
437,1064,39,4,"Buen servicio, todo rico",positivo
438,1065,31,4,"Buen servicio, todo rico",positivo
439,1066,35,4,"Buen servicio, todo rico",positivo
440,1068,38,3,Servicio regular,neutro
441,1070,31,4,"Buen servicio, todo rico",positivo
442,1071,26,4,"Buen servicio, todo rico",positivo
443,1077,27,4,"Buen servicio, todo rico",positivo
444,1079,37,5,"Excelente atención, volveré",positivo
445,1081,38,3,Servicio regular,neutro
446,1083,33,4,"Buen servicio, todo rico",positivo
447,1085,25,4,"Buen servicio, todo rico",positivo
448,1088,32,5,"Excelente atención, volveré",positivo
449,1090,37,4,"Buen servicio, todo rico",positivo
450,1092,31,3,Servicio regular,neutro
451,1094,42,5,"Excelente atención, volveré",positivo
452,1096,46,3,Servicio regular,neutro
453,1097,45,2,La atención no fue agradable,negativo
454,1099,46,3,Servicio regular,neutro
455,1100,46,3,Servicio regular,neutro
456,1102,41,2,La atención no fue agradable,negativo
457,1104,43,3,Servicio regular,neutro
458,1105,47,4,"Buen servicio, todo rico",positivo
459,1106,41,3,Servicio regular,neutro
460,1109,43,3,Servicio regular,neutro
461,1110,43,3,Servicio regular,neutro
462,1111,42,4,"Buen servicio, todo rico",positivo
463,1114,45,2,La atención no fue agradable,negativo
464,1115,47,4,"Buen servicio, todo rico",positivo
465,1117,43,4,"Buen servicio, todo rico",positivo
466,1119,44,3,Servicio regular,neutro
467,1123,12,5,"Excelente atención, volveré",positivo
468,1126,17,3,Servicio regular,neutro
469,1131,4,3,Servicio regular,neutro
470,1132,21,4,"Buen servicio, todo rico",positivo
471,1140,24,4,"Buen servicio, todo rico",positivo
472,1141,4,3,Servicio regular,neutro
473,1143,2,5,"Excelente atención, volveré",positivo
474,1146,10,3,Servicio regular,neutro
475,1150,3,3,Servicio regular,neutro
476,1155,20,5,"Excelente atención, volveré",positivo
477,1156,17,3,Servicio regular,neutro
478,1161,14,4,"Buen servicio, todo rico",positivo
479,1162,9,3,Servicio regular,neutro
480,1163,17,3,Servicio regular,neutro
481,1164,23,3,Servicio regular,neutro
482,1165,3,3,Servicio regular,neutro
483,1170,14,3,Servicio regular,neutro
484,1172,35,4,"Buen servicio, todo rico",positivo
485,1173,40,4,"Buen servicio, todo rico",positivo
486,1174,32,4,"Buen servicio, todo rico",positivo
487,1175,30,4,"Buen servicio, todo rico",positivo
488,1179,39,4,"Buen servicio, todo rico",positivo
489,1180,29,4,"Buen servicio, todo rico",positivo
490,1184,38,3,Servicio regular,neutro
491,1185,26,5,"Excelente atención, volveré",positivo
492,1187,26,4,"Buen servicio, todo rico",positivo
493,1188,28,2,La atención no fue agradable,negativo
494,1191,27,5,"Excelente atención, volveré",positivo
495,1193,31,3,Servicio regular,neutro
496,1195,37,4,"Buen servicio, todo rico",positivo
497,1203,36,3,Servicio regular,neutro
498,1209,48,3,Servicio regular,neutro
499,1210,45,3,Servicio regular,neutro
500,1216,48,4,"Buen servicio, todo rico",positivo
501,1220,9,3,Servicio regular,neutro
502,1221,10,4,"Buen servicio, todo rico",positivo
503,1225,3,4,"Buen servicio, todo rico",positivo
504,1230,19,2,La atención no fue agradable,negativo
505,1232,14,3,Servicio regular,neutro
506,1234,18,4,"Buen servicio, todo rico",positivo
507,1237,3,3,Servicio regular,neutro
508,1239,16,3,Servicio regular,neutro
509,1240,16,3,Servicio regular,neutro
510,1241,22,4,"Buen servicio, todo rico",positivo
511,1246,16,3,Servicio regular,neutro
512,1251,15,4,"Buen servicio, todo rico",positivo
513,1256,9,4,"Buen servicio, todo rico",positivo
514,1259,23,3,Servicio regular,neutro
515,1260,22,4,"Buen servicio, todo rico",positivo
516,1267,5,3,Servicio regular,neutro
517,1268,13,4,"Buen servicio, todo rico",positivo
518,1269,16,3,Servicio regular,neutro
519,1276,11,4,"Buen servicio, todo rico",positivo
520,1279,31,3,Servicio regular,neutro
521,1280,31,4,"Buen servicio, todo rico",positivo
522,1285,26,4,"Buen servicio, todo rico",positivo
523,1286,37,4,"Buen servicio, todo rico",positivo
524,1287,29,4,"Buen servicio, todo rico",positivo
525,1290,39,4,"Buen servicio, todo rico",positivo
526,1291,32,4,"Buen servicio, todo rico",positivo
527,1292,25,4,"Buen servicio, todo rico",positivo
528,1293,40,4,"Buen servicio, todo rico",positivo
529,1296,27,4,"Buen servicio, todo rico",positivo
530,1297,33,3,Servicio regular,neutro
531,1304,37,4,"Buen servicio, todo rico",positivo
532,1311,40,4,"Buen servicio, todo rico",positivo
533,1313,36,3,Servicio regular,neutro
534,1315,27,4,"Buen servicio, todo rico",positivo
535,1318,34,4,"Buen servicio, todo rico",positivo
536,1319,28,3,Servicio regular,neutro
537,1322,35,4,"Buen servicio, todo rico",positivo
538,1323,39,4,"Buen servicio, todo rico",positivo
539,1324,25,5,"Excelente atención, volveré",positivo
540,1325,40,4,"Buen servicio, todo rico",positivo
541,1327,25,5,"Excelente atención, volveré",positivo
542,1329,27,4,"Buen servicio, todo rico",positivo
543,1337,47,4,"Buen servicio, todo rico",positivo
544,1340,42,4,"Buen servicio, todo rico",positivo
545,1342,44,3,Servicio regular,neutro
546,1345,43,3,Servicio regular,neutro
547,1346,41,3,Servicio regular,neutro
548,1351,45,3,Servicio regular,neutro
549,1352,47,4,"Buen servicio, todo rico",positivo
550,1360,13,4,"Buen servicio, todo rico",positivo
551,1361,10,4,"Buen servicio, todo rico",positivo
552,1366,23,3,Servicio regular,neutro
553,1370,6,4,"Buen servicio, todo rico",positivo
554,1371,17,3,Servicio regular,neutro
555,1375,19,3,Servicio regular,neutro
556,1377,8,4,"Buen servicio, todo rico",positivo
557,1379,14,4,"Buen servicio, todo rico",positivo
558,1381,2,5,"Excelente atención, volveré",positivo
559,1383,4,3,Servicio regular,neutro
560,1384,8,4,"Buen servicio, todo rico",positivo
561,1386,10,3,Servicio regular,neutro
562,1388,11,4,"Buen servicio, todo rico",positivo
563,1392,2,4,"Buen servicio, todo rico",positivo
564,1394,24,4,"Buen servicio, todo rico",positivo
565,1397,2,5,"Excelente atención, volveré",positivo
566,1398,2,4,"Buen servicio, todo rico",positivo
567,1401,23,4,"Buen servicio, todo rico",positivo
568,1403,11,4,"Buen servicio, todo rico",positivo
569,1405,4,3,Servicio regular,neutro
570,1408,1,3,Servicio regular,neutro
571,1410,30,4,"Buen servicio, todo rico",positivo
572,1411,26,4,"Buen servicio, todo rico",positivo
573,1412,25,4,"Buen servicio, todo rico",positivo
574,1413,37,4,"Buen servicio, todo rico",positivo
575,1414,26,4,"Buen servicio, todo rico",positivo
576,1415,26,4,"Buen servicio, todo rico",positivo
577,1417,34,4,"Buen servicio, todo rico",positivo
578,1420,36,3,Servicio regular,neutro
579,1421,25,4,"Buen servicio, todo rico",positivo
580,1422,37,4,"Buen servicio, todo rico",positivo
581,1423,25,4,"Buen servicio, todo rico",positivo
582,1424,39,4,"Buen servicio, todo rico",positivo
583,1426,39,5,"Excelente atención, volveré",positivo
584,1432,32,4,"Buen servicio, todo rico",positivo
585,1439,35,5,"Excelente atención, volveré",positivo
586,1442,33,3,Servicio regular,neutro
587,1445,39,3,Servicio regular,neutro
588,1448,32,5,"Excelente atención, volveré",positivo
589,1449,25,4,"Buen servicio, todo rico",positivo
590,1450,27,5,"Excelente atención, volveré",positivo
591,1451,38,3,Servicio regular,neutro
592,1454,30,4,"Buen servicio, todo rico",positivo
593,1456,39,4,"Buen servicio, todo rico",positivo
594,1458,40,5,"Excelente atención, volveré",positivo
595,1460,27,4,"Buen servicio, todo rico",positivo
596,1466,42,4,"Buen servicio, todo rico",positivo
597,1468,43,3,Servicio regular,neutro
598,1469,44,4,"Buen servicio, todo rico",positivo
599,1470,44,3,Servicio regular,neutro
600,1471,41,2,La atención no fue agradable,negativo
601,1474,44,4,"Buen servicio, todo rico",positivo
602,1481,42,4,"Buen servicio, todo rico",positivo
603,1482,44,4,"Buen servicio, todo rico",positivo
